timestamp	pid	process_name	cpu_percent	memory_gb	gpu_memory_mb	gpu_utilization	gpu_name
2026-04-29 10:39:44	37886	python3.13	0.80	0.035	0.00	0.0	Apple Silicon GPU
2026-04-29 10:39:50	37886	python3.13	0.40	0.134	0.00	0.0	Apple Silicon GPU
2026-04-29 10:39:55	37886	python3.13	5.10	0.168	0.00	0.0	Apple Silicon GPU
2026-04-29 10:40:00	37886	python3.13	1.10	0.344	0.00	0.0	Apple Silicon GPU
2026-04-29 10:40:06	37886	python3.13	98.80	0.356	0.00	0.0	Apple Silicon GPU
2026-04-29 10:40:11	37886	python3.13	85.90	0.315	0.00	0.0	Apple Silicon GPU
2026-04-29 10:40:16	37886	python3.13	27.30	0.324	0.00	0.0	Apple Silicon GPU
2026-04-29 10:40:21	37886	python3.13	97.50	0.300	0.00	0.0	Apple Silicon GPU
2026-04-29 10:40:27	37886	python3.13	5.40	0.300	0.00	0.0	Apple Silicon GPU
2026-04-29 10:40:32	37886	python3.13	44.50	0.227	0.00	0.0	Apple Silicon GPU
2026-04-29 10:40:38	37886	python3.13	1.40	0.279	0.00	0.0	Apple Silicon GPU
2026-04-29 10:40:43	37886	python3.13	0.40	0.346	0.00	0.0	Apple Silicon GPU
2026-04-29 10:40:48	37886	python3.13	17.50	0.190	0.00	0.0	Apple Silicon GPU
2026-04-29 10:40:53	37886	python3.13	5.70	0.190	0.00	0.0	Apple Silicon GPU
2026-04-29 10:40:59	37886	python3.13	1.50	0.308	0.00	0.0	Apple Silicon GPU
2026-04-29 10:41:04	37886	python3.13	23.80	0.321	0.00	0.0	Apple Silicon GPU
2026-04-29 10:41:10	37886	python3.13	100.70	0.309	0.00	0.0	Apple Silicon GPU
2026-04-29 10:41:15	37886	python3.13	0.50	0.085	0.00	0.0	Apple Silicon GPU
2026-04-29 10:41:20	37886	python3.13	0.10	0.102	0.00	0.0	Apple Silicon GPU
2026-04-29 10:41:26	37886	python3.13	9.60	0.093	0.00	0.0	Apple Silicon GPU
2026-04-29 10:41:31	37886	python3.13	1.30	0.142	0.00	0.0	Apple Silicon GPU
2026-04-29 10:41:36	37886	python3.13	20.20	0.165	0.00	0.0	Apple Silicon GPU
2026-04-29 10:41:41	37886	python3.13	94.40	0.137	0.00	0.0	Apple Silicon GPU
2026-04-29 10:41:47	37886	python3.13	90.70	0.141	0.00	0.0	Apple Silicon GPU
2026-04-29 10:41:52	37886	python3.13	0.10	0.130	0.00	0.0	Apple Silicon GPU
2026-04-29 10:41:58	37886	python3.13	17.00	0.157	0.00	0.0	Apple Silicon GPU
2026-04-29 10:42:03	37886	python3.13	0.10	0.153	0.00	0.0	Apple Silicon GPU
2026-04-29 10:42:08	37886	python3.13	8.80	0.172	0.00	0.0	Apple Silicon GPU
2026-04-29 10:42:14	37886	python3.13	102.30	0.151	0.00	0.0	Apple Silicon GPU
2026-04-29 10:42:19	37886	python3.13	86.00	0.148	0.00	0.0	Apple Silicon GPU
2026-04-29 10:42:24	37886	python3.13	0.60	0.059	0.00	0.0	Apple Silicon GPU
2026-04-29 10:42:30	37886	python3.13	103.60	0.118	0.00	0.0	Apple Silicon GPU
2026-04-29 10:42:35	37886	python3.13	5.00	0.076	0.00	0.0	Apple Silicon GPU
2026-04-29 10:42:40	37886	python3.13	99.20	0.159	0.00	0.0	Apple Silicon GPU
2026-04-29 10:42:46	37886	python3.13	2.60	0.138	0.00	0.0	Apple Silicon GPU
2026-04-29 10:42:51	37886	python3.13	82.50	0.312	0.00	0.0	Apple Silicon GPU
2026-04-29 10:42:56	37886	python3.13	1.00	0.333	0.00	0.0	Apple Silicon GPU
2026-04-29 10:43:02	37886	python3.13	1.90	0.336	0.00	0.0	Apple Silicon GPU
2026-04-29 10:43:07	37886	python3.13	0.00	0.106	0.00	0.0	Apple Silicon GPU
2026-04-29 10:43:12	37886	python3.13	1.20	0.160	0.00	0.0	Apple Silicon GPU
2026-04-29 10:43:18	37886	python3.13	1.00	0.162	0.00	0.0	Apple Silicon GPU
2026-04-29 10:43:23	37886	python3.13	4.70	0.051	0.00	0.0	Apple Silicon GPU
2026-04-29 10:43:28	37886	python3.13	93.60	0.158	0.00	0.0	Apple Silicon GPU
2026-04-29 10:43:34	37886	python3.13	73.00	0.153	0.00	0.0	Apple Silicon GPU
2026-04-29 10:43:39	37886	python3.13	81.00	0.044	0.00	0.0	Apple Silicon GPU
2026-04-29 10:43:44	37886	python3.13	0.10	0.309	0.00	0.0	Apple Silicon GPU
2026-04-29 10:43:50	37886	python3.13	10.10	0.210	0.00	0.0	Apple Silicon GPU
2026-04-29 10:43:55	37886	python3.13	1.10	0.312	0.00	0.0	Apple Silicon GPU
2026-04-29 10:44:01	37886	python3.13	1.00	0.319	0.00	0.0	Apple Silicon GPU
2026-04-29 10:44:06	37886	python3.13	4.70	0.051	0.00	0.0	Apple Silicon GPU
2026-04-29 10:44:11	37886	python3.13	0.80	0.310	0.00	0.0	Apple Silicon GPU
2026-04-29 10:44:17	37886	python3.13	15.10	0.317	0.00	0.0	Apple Silicon GPU
2026-04-29 10:44:22	37886	python3.13	1.40	0.314	0.00	0.0	Apple Silicon GPU
2026-04-29 10:44:27	37886	python3.13	1.40	0.316	0.00	0.0	Apple Silicon GPU
2026-04-29 10:44:33	37886	python3.13	18.60	0.325	0.00	0.0	Apple Silicon GPU
2026-04-29 10:44:39	37886	python3.13	14.30	0.110	0.00	0.0	Apple Silicon GPU
2026-04-29 10:44:44	37886	python3.13	12.60	0.163	0.00	0.0	Apple Silicon GPU
